Report No.,Code,Incident Type,Title,Date,Location,Latitude,Longitude,Description,Weapons,Actor Type,Actors,Actor Categories,Unspecified,Pistol,Revolver,Assault Rifle,Rifle,Shotgun,SMG,LMG,HMG,GL,AGL,RPG/ATW,Mortar,ATGM,MANPADS,Hand Grenade,Projected Gren,Rifle Gren,Munition,Ammo,Craft handgun,Craft Rifle,Craft Shotgun,Craft SMG,Craft RPG,Tags,Convergence,Arms Score,Source
0,VNM.2025.06.26.001,Illicit manufacture,Police Dismantle Air Gun Manufacturing Network Selling Nationwide From Hanoi,26 June 2025,"Soc Son, Hanoi",21.256098074338,105.84617087816,"Police seized 16 air guns, two CNC machines, and gun manufacturing equipment when they arrested four suspected gun traffickers. The suspects confessed that they discussed buying PCP air gun components to assemble and retail to customers across the country in early 2022. They advertized their weapons over YouTube and sourced parts and accessories e-commerce and social media platforms like Lazada, Shopee, and TikTok. They shipped their products by express courier service to their clients, many of whom were in Son La Province. Images showed several high-quality air rifles.","16 homemade air rifles (craft rifles)
2 CNC machines and manufacturing equipment (not tallied)","Criminal Organization
Police",Criminal organization (air gun manufacturing network); Police,"Criminal, State",,,,,,,,,,,,,,,,,,,,,,16,,,,"Crime, Online",,16,https://tuoitre.vn/triet-pha-o-nhom-che-tao-tang-tru-mua-ban-sung-quy-mo-lon-20250627161137654.htm
5,VNM.2025.06.25.002,Illicit manufacture,Four-member air-rifle manufacturing ring dismantled across Hanoi and Son La,25 June 2025,"Dong Xuan Commune, Soc Son District, Hanoi",21.2120993050194,105.869453885021,"The authorities seized 16 PCP air rifles and two CNC machines used to manufacture gun components when they detained four men — Nguyen Van Hai, Nguyen Huu Dinh, and Nguyen Van Thu, and Hoang Minh Loc — in Dong Xuan Commune, Soc Son District, Hanoi on 25 June 2025. The group had been buying air-rifle parts online since early 2022, assembling them into complete weapons advertised on a YouTube channel and sold to buyers nationwide via express courier. By April 2026, the expanded investigation had led to 14 total defendants charged, including two more arrests — Cao Thanh Thuan and Nguyen Van Thuc — in Lam Dong.",16 PCP air rifles (craft rifles).,"Criminal Organization
Police","Criminal Organization (Nguyen Van Hai, born 1998; Nguyen Huu Dinh, born 1998; Nguyen Van Thu, born 1998; Hoang Minh Loc, born 1991 — detained; Cao Thanh Thuan, born 1998; Nguyen Van Thuc, born 1983 — later detained; 14 total defendants charged); Police (Son La Provincial Security Investigation Agency, Ministry of Public Security Cybersecurity and High-Tech Crime Prevention Department).","Criminal, State",,,,,,,,,,,,,,,,,,,,,,16,,,,"Crime, Online",,16,https://cand.vn/triet-pha-o-nhom-che-tao-mua-ban-trai-phep-vu-khi-quan-dung-post773030.html
4,VNM.2025.06.11.001,Illicit manufacture,Two men caught assembling PCP air rifles from online-ordered parts in Bac Giang,11 June 2025,"Nha Nam Town, Tan Yen District, Bac Giang",21.4433952569332,106.096628083748,"Police seized one PCP air rifle from Pham Ngoc Quynh as he attempted to transport it to a buyer in Hanoi at the Nha Nam bus station, Tan Yen District, Bac Giang on 11 June 2025. A subsequent search of Do Van Thuc's home turned up two more PCP air rifles and numerous components for assembling additional weapons. Thuc admitted ordering the parts online and assembling them into complete firearms to sell for profit. On 20 June 2025, the Bac Giang Provincial Security Investigation Agency formally charged Thuc with illegal manufacture, possession, and sale of a military-pattern firearm, and Quynh with illegal sale of a military-pattern firearm.","3 PCP air rifles (craft rifles)
gun-assembly components.","Criminal Organization
Police","Criminal Organization (Do Van Thuc, born 1980 — manufacturer, charged; Pham Ngoc Quynh, born 1983 — charged); Police (Bac Giang Provincial Police Criminal Police Department, Security Investigation Agency).","Criminal, State",,,,,,,,,,,,,,,,,,,,,,3,,,,"Crime, Online",,3,https://cand.vn/bat-2-doi-tuong-thu-giu-nhieu-linh-kien-lap-rap-sung-quan-dung-post771491.html
0,VNM.2025.06.10.001,Seizure,Police Seize Air Rifle From Poaching Suspects During Traffic Stop in Long An,10 June 2025,"Hamlet 2, Tan Hiep, Thanh Hoa, Long An ",10.7712944267081,106.171676770292,"Police seized an air rifle when a police patrol inspected two suspicious individuals on a motorbike during a traffic stop. The suspects confessed they bought the rifle online. An image showed the rifle, which had markings ""COMMSO PE, LM88E"" and ""Forth Worth, TX."" Cong An Tinh Tay Ninh reported that the suspects bought the weapon for poaching. ",1 air rifle (craft rifle),"Criminal Individual
Police",Criminal individuals (poaching suspects); Police,"Criminal, State",,,,,,,,,,,,,,,,,,,,,,1,,,,"Crime, Online",Environmental crime,1,https://www.sggp.org.vn/long-an-xu-ly-2-doi-tuong-tang-tru-sung-hoi-post799187.html
0,VNM.2025.06.09.001,Seizure,"Border Guard Seizes Two Revolvers, One Possibly a Converted Toy Gun, From Cambodia-Bound Suspect in Long An",09 June 2025,"My Quy Tay Border Guard Station, Hamlet 4, My Quy Tay, Duc Hue, Long An",10.930681590547,106.149855540393,"Border Guard personnel seized two revolvers along with three bags of Ketamine when they arrested a suspicious individual attempted to cross from Vietnam into Cambodia through the official border station. Personnel first observed the individual behaving suspiciously in a line for citizens exiting the country. Upon inspection, personnel discovered one revolver and the Ketamine in his bag, and then seized the second firearm from his vehicle. An image showed the revolvers, at least one of which may have been a toy cap gun. Quan Doi Nhan Dan reported that the individual was noticed as his passport had expired. ","1 revolver
1 revolver, possibly a converted toy cap gun (craft handgun)","Criminal Individual
Military",Criminal individual (drug user); Military (Border Guard),"Criminal, State",,,1,,,,,,,,,,,,,,,,,,1,,,,,"Crime, Smuggling, Conversion",Drug trafficking,1.5,https://www.sggp.org.vn/bat-doi-tuong-van-chuyen-ma-tuy-va-2-khau-sung-qua-bien-gioi-post799182.html
4,VNM.2025.06.08.001,UXO,Decades-old 105mm artillery shell kills bicycle repairman in Ca Mau,08 June 2025,"Ward 1, Gia Rai Town, Ca Mau",9.22934601998585,105.431183960406,"A 105mm artillery shell that L.V.U. had used for over 20 years as an anvil to fasten bicycle spokes exploded at his repair shop, killing him instantly, in Ward 1, Gia Rai Town, Ca Mau (now Bac Lieu Province) on 8 June 2025. U.'s father had originally found the shell and given it to him. Authorities warned residents against collecting or tampering with old ordnance, however long buried, given the continued risk of detonation.",1 105mm artillery ordnance.,"Civilian Community
Police","Civilian Community (L.V.U., born 1976 — deceased); Police (Gia Rai Town local authorities, Ca Mau).","Other, State",,,,,,,,,,,,,,,,,,,1,,,,,,,,,10,https://cand.vn/de-khong-con-nhung-tieng-no-oan-trai-post773946.html
0,VNM.2025.06.07.001,Seizure,"Border Guard Seizes Assault Rifles, Pistols, and Grenades From Chinese Nationals Smuggling Arms and Drugs Through Cao Bang",07 June 2025,"Noi Thon, Ha Quang, Cao Bang",22.931074891025,106.196837949327,"Border Guard and police personnel seized two grenades, three rifles, seven pistols, and 470 rounds of ammunition along with two packages of heroin when they arrested three Chinese nationals attempting to illegally exit Vietnam into China. The suspects confessed that the weapons and drugs had been smuggled from Laos into Vietnam with the intention of then smuggling them on to China.

Voice of Vietnam/Tieng Noi Viet Nam reported that the weapons had been smuggled from Laos into Vietnam by road, and implied that some of the suspects had enterred Vietnam from Laos illegally. Images of the weapons showed one Type 56-1 assault rifle, one AR-15, one M16A1 assault rifle, seven pistols (including several Glocks), two Type 86p grenades, several magazines, and hundreds of rounds of ammunition.","1 Type 56-1 assault rifle
1 AR-15
1 M16A1 assault rifle
7 pistols (including several Glocks)
2 Type 86p grenades
470 rounds of ammunition","Criminal Organization
Military
Police","Criminal organization (arms and drug smugglers, Chinese nationals); Military (Border Guard); Police","Criminal, State",,7,,3,,,,,,,,,,,,2,,,,470,,,,,,"Smuggling, Crime",Drug trafficking,36.7,https://www.qdnd.vn/phap-luat/tin-tuc/bat-3-doi-tuong-van-chuyen-trai-phep-ma-tuy-vu-khi-quan-dung-qua-bien-gioi-832195
0,VNM.2025.05.18.001,Seizure,Border Guards Seize Pistol From Laos-Returning Smuggler in Ha Tinh,18 May 2025,"Cau Treo International Border Gate, Huong Son, Ha Tinh",18.3916850029848,105.159494424359,Border guards seized one CZ85 pistol and four rounds of ammunition along with a package of ketamine when they inspected the backpack of a Vietnamese national returning from Laos. The suspect confessed to buying the items in Laos in order to bring back into Vietnam. Image showed the pistol and ammunition.,"1 CZ85 pistol
4 rounds of ammunition","Criminal Individual
Military",Criminal individual (smuggler); Military (Border Guard),"Criminal, State",,1,,,,,,,,,,,,,,,,,,4,,,,,,"Smuggling, Crime",Drug trafficking,1.04,https://tuoitre.vn/bat-thanh-nien-mua-sung-ngan-va-ma-tuy-o-lao-dem-ve-viet-nam-20250524182746293.htm
5,VNM.2025.05.10.001,Surrender/Amnesty,Elderly man surrenders K54 pistol kept since Vietnam War-era civil service in Hue,10 May 2025,"Thuan Hoa Ward, Phu Xuan District, Hue",16.4582470175619,107.585959931638,"Dang Van Luc, born 1938, voluntarily surrendered a K54-pattern pistol and 10 rounds of ammunition to police in Thuan Hoa Ward, Phu Xuan District, Hue. Luc said he had kept the pistol, issued to him decades earlier while working at the Phu Loc District Finance Office, as a keepsake. The same article reported that, from February to May 2025, Hue police had collected 95 firearms (including 82 homemade firearms), 169 rounds of ammunition, 17 bombs/mines/artillery shells, and 6 blasting caps citywide.","1 K54 pistol
10 rounds of ammunition.","Civilian Community
Police","Civilian Community (Dang Van Luc, born 1938, Hue); Police (Thuan Hoa Ward Police, Hue Municipal Police).","Other, State",,1,,,,,,,,,,,,,,,,,,10,,,,,,,,1.1,https://cand.vn/cong-an-tp-hue-no-luc-kim-giam-toi-pham-lien-quan-den-vu-khi-vat-lieu-no-cong-cu-ho-tro-post767845.html
0,VNM.2025.05.07.001,Seizure,Police Seize Revolvers and Air Rifles From Multi-Crime Network in Tien Giang,07 May 2025,Tien Giang,10.3523432387311,106.382908415947,"Police seized two air rifles, three pistols, one grenade, and 43 rounds of ammunition along with a plastic bag containing suspected drugs when they arrested 32 members of a suspected criminal organization engaged in illegal gambling, illegal money lending, and drug trafficking. The organization was led by Nguyen Cong Huan, and the group allegedly operated in Tien Giang and Long An provinces. Images of the weapons showed two air rifles, three revolvers (including one Smith and Wesson and one ZP-5), one training grenade, and several rounds of assorted ammunition.","1 Smith & Wesson revolver
1 converted 'ZP-5' revolver (craft handgun)
1 unspecified revolver
2 air rifles (craft rifles)
1 training grenade
43 rounds of ammunition","Criminal Organization
Police",Criminal organization (loan shark/drug trafficking network); Police,"Criminal, State",,,2,,,,,,,,,,,,,1,,,,43,1,2,,,,"Crime, Conversion","Drug trafficking, Illicit business",9.93,https://tuoitre.vn/triet-pha-nhom-giang-ho-cho-vay-lai-nang-hoat-dong-o-tien-giang-thu-giu-nhieu-sung-dan-2025051821524442.htm
10,VNM.2025.05.07.002,UXO,Resident finds over 400 rounds of belted ammunition at construction site in Da Nang,07 May 2025,"Phu Hoa 2 Hamlet, Hoa Nhon Commune, Hoa Vang District, Da Nang",16.00830656737024,108.1287897560443,"Do Huu Minh discovered and surrendered two metal boxes containing over 400 rounds of belted ammunition leftover from wartime while digging a house foundation in Phu Hoa 2 Hamlet, Hoa Nhon Commune, Hoa Vang District, Da Nang on 7 May 2025. Minh struck the boxes while excavating, preserved the site, and reported the find to Hoa Nhon Commune Police, who recovered the boxes and belts. Police then handed the ammunition over to the Da Nang City Military Command, which was to process it for destruction under standard procedure. Local authorities proposed commending Minh for his conduct and used the case to urge residents not to illegally store, use, or trade weapons and explosive materials.","400+ rounds of ammunition (caliber/type unspecified), contained in 4 ammunition belts","Civilian Community
Police
Military","Civilian Community (Do Huu Minh, discovered and surrendered the ordnance); Police (Hoa Nhon Commune Police); Military (Da Nang City Military Command).","Other, State",,,,,,,,,,,,,,,,,,,,400,,,,,,State conflict,,4,https://www.sggp.org.vn/nguoi-dan-phat-hien-hon-400-vien-dan-khi-dao-mong-nha-post794233.html
0,VNM.2025.05.01.001,Illicit manufacture,Police Seize Homemade Air Rifles From Poaching Suspects in Dak Lak,01 May 2025,"Cu Klong forest, Krong Nang, Dak Lak",13.0898308473852,108.452860093078,Police seized four air rifles and 560 rounds of ammunition (though likely pellets) when they arrested two groups entailing seven poaching suspects. The suspects confessed to purchasing the weapons components online and assembling them. Each assembled gun cost between VND 6 and 8 million. Images showed four high quality air rifles.,"4 homemade air rifles (craft rifles)
560 rounds of ammunition (likely pellets)","Criminal Organization
Police",Criminal organization (poaching group); Police,"Criminal, State",,,,,,,,,,,,,,,,,,,,560,,4,,,,"Crime, Online",Environmental crime,9.600000000000001,https://www.sggp.org.vn/bat-7-doi-tuong-mang-sung-tu-che-vao-rung-san-ban-thu-post793735.html
0,VNM.2025.04.26.001,Seizure,Police Seize Revolver From Fortified Drug Dealer Residence in Dak Nong,26 April 2025,"Dak Drong, Cư Jút, Dak Nong",12.6350364537672,107.804828532929,Police seized one revolver and 10 rounds of ammunition along with a quantity of heroin when they arrested a suspected drug dealer and three suspected drug users. Police discovered the weapon during a search of the dealer's residences. The suspect reinforced his residence with additional security measures. An image showed the revolver and ammunition.,"1 revolver
10 rounds of ammunition","Criminal Organization
Police",Criminal organization (drug dealer operation); Police,"Criminal, State",,,1,,,,,,,,,,,,,,,,,10,,,,,,Crime,Drug trafficking,1.1,https://www.sggp.org.vn/pha-tu-diem-ban-ma-tuy-cong-an-thu-giu-sung-va-nhieu-dan-cua-con-nghien-post794165.html
